maceta	clon	tratamiento	valor	fecha	hora	pesoi	pesof	sum.riego
3	g1	d	i	26/2/2020	NA	17.447	17.447	0
3	g1	d	NA	27/2/2020	NA	17.359	17.530	0
3	g1	d	i	28/2/2020	NA	17.440	17.440	0
3	g1	d	NA	29/2/2020	NA	17.350	17.535	0
3	g1	d	i	1/3/2020	NA	17.425	17.425	0
3	g1	d	NA	2/3/2020	NA	17.315	17.531	0
3	g1	d	i	3/3/2020	NA	17.435	17.435	0
3	g1	d	NA	4/3/2020	NA	17.339	17.527	0
3	g1	d	i	5/3/2020	NA	17.424	17.424	0
3	g1	d	NA	6/3/2020	NA	17.320	17.528	0
3	g1	d	i	7/3/2020	NA	17.441	17.441	0
3	g1	d	NA	8/3/2020	NA	17.353	17.531	0
3	g1	d	NA	9/3/2020	NA	17.437	17.437	0
3	g1	d	NA	10/3/2020	NA	17.343	17.535	0
3	g1	d	NA	11/3/2020	NA	17.4825	17.4825	0
3	g1	d	NA	12/3/2020	NA	17.43	17.532	0
3	g1	d	NA	13/3/2020	NA	17.469	17.469	0
3	g1	d	NA	14/3/2020	NA	17.406	17.406	0
3	g1	d	NA	15/3/2020	NA	17.343	17.343	0
3	g1	d	NA	16/3/2020	NA	17.28	17.528	0
3	g1	d	NA	17/3/2020	NA	17.472	17.472	0
3	g1	d	NA	18/3/2020	NA	17.436	17.531	0
3	g1	d	i	19/3/2020	NA	17.474	17.474	0
3	g1	d	NA	20/3/2020	NA	17.416	17.53	0
3	g1	d	NA	21/3/2020	NA	17.416	17.531	0
3	g1	d	NA	22/3/2020	NA	17.395	17.53	0
4	gt	c	NA	8/11/2019	NA	19.891	19.891	0
4	gt	c	NA	11/11/2019	NA	19.355	19.355	0
4	gt	c	NA	13/11/2019	NA	19.108	19.43	0
4	gt	c	NA	19/11/2019	NA	18.744	19.43	0
4	gt	c	NA	21/11/2019	8:50	18.841	19.43	0
4	gt	c	NA	22/11/2019	10:06	19.172	19.43	0
4	gt	c	NA	25/11/2019	10:12	18.983	18.983	0
4	gt	c	NA	26/11/2019	9:06	18.885	18.885	0
4	gt	c	NA	27/11/2019	11:30	18.752	19.43	0
4	gt	c	NA	28/11/2019	8:50	19.155	19.434	0
4	gt	c	NA	29/11/2019	8:50	19.018	19.432	0
4	gt	c	NA	30/11/2019	8:50	19.075	19.43	0
4	gt	c	i	1/12/2019	NA	19.05	19.05	0
4	gt	c	NA	2/12/2019	8:50	18.67	19.43	0
4	gt	c	NA	3/12/2019	9:10	19.069	19.069	0
4	gt	c	NA	4/12/2019	8:30	18.813	19.03	0
4	gt	c	NA	5/12/2019	8:50	18.787	19.03	0
4	gt	c	NA	6/12/2019	8:10	18.731	19.391	0
4	gt	c	NA	7/12/2019	8:05	18.926	19.033	0
4	gt	c	i	8/12/2019	NA	18.7365	18.7365	0
4	gt	c	NA	9/12/2019	8:00	18.44	19.03	0
